cohort,sequence,promptID,budgetMiB,promptTokens,generatedTokens,protocolValid,peakThermalState,baselineFootprintBytes,peakFootprintBytes,peakRSSBytes,minimumHeadroomBytes,samples,maximumSamplingGapSeconds,elapsedSeconds,decodeTokensPerSecond,logicalExpertPayloadBytes
parent-stopped,1,conversation-001,512,49,128,True,nominal,29083416,2011843816,1900052480,4430607128,337,0.25513579099999995,83.78161001205444,2.2230781942977873,99656663040
parent-stopped,2,conversation-001,576,49,128,True,nominal,1990249704,2310442480,2222456832,4132008464,301,0.2546469589999987,74.81126201152802,2.57415575478768,59696676864
parent-stopped,3,conversation-001,576,49,128,True,nominal,2077576496,2474511928,2259107840,3967939016,252,0.254265834,62.729528069496155,3.1862398543158696,59696676864
parent-stopped,4,conversation-001,512,49,128,True,nominal,2059554144,2389839416,2257108992,4052611528,302,0.25471970899999974,75.0445739030838,2.4427957837281737,99656663040
parent-stopped,5,code-001,576,52,128,True,nominal,2045185352,2375503392,2255241216,4066947552,285,0.254994834,70.8381199836731,2.6401282884112987,62678237184
parent-stopped,6,code-001,512,52,128,True,nominal,2054081864,2384743968,2256732160,4057706976,338,0.25479937500000105,84.17282891273499,2.13733178007317,101355356160
parent-stopped,7,code-001,512,52,128,True,nominal,2063519072,2390642232,2263252992,4051808712,307,0.254952375000002,76.45833492279053,2.443293467272212,101355356160
parent-stopped,8,code-001,576,52,128,True,nominal,2037337440,2355154488,2248900608,4087296456,329,0.254935040999996,81.94624400138855,2.1507373935383156,62678237184
parent-stopped,9,mathematics-001,512,69,128,True,nominal,2085326176,2429750840,2243067904,4012700104,358,0.2549931669999994,89.12844002246857,2.1891223115030005,110981283840
parent-stopped,10,mathematics-001,576,69,128,True,nominal,2080116064,2438401616,2271117312,4004049328,330,0.25509095800000003,82.11952292919159,2.4172754137090227,67692920832
parent-stopped,11,mathematics-001,576,69,128,True,nominal,2098498960,2488782416,2273394688,3953668528,308,0.254772415999998,76.70659291744232,2.6738848363348104,67692920832
parent-stopped,12,mathematics-001,512,69,128,False,fair,2109066616,2441858640,2273656832,4000592304,346,0.25501508400000006,86.11976706981659,2.334767661141442,110981283840
separate-followup,1,memory-context-001,576,340,32,True,nominal,29574984,2565868728,1949155328,3876582216,801,0.2549307080000034,199.90421903133392,2.230704340844569,159045451776
separate-followup,2,memory-context-001,512,340,32,True,nominal,2546175160,2930576904,2258747392,3511874040,846,0.25504845899999995,211.09622406959534,2.0602561029597677,210071715840
